sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen
107382,2/1C SRML Wire (133 Strands) 200C 600V,Cables especiales,Cables apantallados,,2,1,600 V,Sí,Fiberglass Braid,UL3231; SEW-2,,,,,,
107383,4/1C SRML Wire (133 Strands) 200C 600V,Cables especiales,Cables apantallados,,4,1,600 V,Sí,Fiberglass Braid,UL3231; SEW-2,,,,,,
107384,6/1C SRML Wire (133 Strands) 150C 600V,Cables especiales,Cables apantallados,,6,1,600 V,Sí,Fiberglass Braid,UL3278; SEWF-2,,,,,,
107385,8/1C SRML Wire (133 Strands) 150C 600V,Cables especiales,Cables apantallados,,8,1,600 V,Sí,Fiberglass Braid,UL3278; SEWF-2,,,,,,
107386,1/0-1C SRML Wire (259 Strands) 200C 600V,Cables especiales,Cables apantallados,,1/0,1,600 V,Sí,Fiberglass Braid,UL3231; SEW-2,,,,,,
107387,12 AWG 3 Conductors 19 strands Silicone Rubber Motor Lead SRG-K,Cables especiales,Cable coaxial,,12,3,600 V,Sí,Aramid Fiber Braid,,,,,,,
107388,12 AWG 4 Conductors 19 strands Silicone Rubber Motor Lead SRG-K,Cables especiales,Cable coaxial,,12,4,600 V,Sí,Aramid Fiber Braid,,,,,,,
107389,12/5C(19STR) SRG-K CABLE 200C,Cables especiales,Cable coaxial,,12,5,600 V,Sí,Aramid Fiber Braid,,,,,,,
107390,14 AWG 3 Conductors 7 strands Silicone Rubber Motor Lead SRG-K,Cables especiales,Cable coaxial,,14,3,600 V,Sí,Aramid Fiber Braid,,,,,,,
107391,14 AWG 4 Conductors 7 strands Silicone Rubber Motor Lead SRG-K,Cables especiales,Cable coaxial,,14,4,600 V,Sí,Aramid Fiber Braid,,,,,,,
107392,14 AWG 5 Conductors 7 strands Silicone Rubber Motor Lead SRG-K,Cables especiales,Cable coaxial,,14,5,600 V,Sí,Aramid Fiber Braid,,,,,,,
107393,14 AWG 7 Conductors 7 strands Silicone Rubber Motor Lead SRG-K,Cables especiales,Cable coaxial,,14,7,600 V,Sí,Aramid Fiber Braid,,,,,,,
107394,2/0-1C SRML Wire (259 Strands) 200C 600V,Cables especiales,Cables apantallados,,2/0,1,600 V,Sí,Fiberglass Braid,UL3231; SEW-2,,,,,,
107395,250/1C SRML Wire (427 Strands) 200C 600V,Cables especiales,Cables apantallados,,250 MCM,1,600 V,Sí,Fiberglass Braid,UL3410; AWM,,,,,,
107396,3/0-1C SRML Wire (259 Strands) 200C 600V,Cables especiales,Cables apantallados,,3/0,1,600 V,Sí,Fiberglass Braid,UL3231; SEW-2,,,,,,
107397,350/1C SRML Wire (427 Strands) 200C 600V,Cables especiales,Cables apantallados,,350 MCM,1,600 V,Sí,Fiberglass Braid,UL3410; AWM,,,,,,
107398,4/0-1C SRML Wire (259 Strands) 200C 600V,Cables especiales,Cables apantallados,,4/0,1,600 V,Sí,Fiberglass Braid,UL3231; SEW-2,,,,,,
107399,500/1C SRML Wire (427 Strands) 200C 600V,Cables especiales,Cables apantallados,,500 MCM,1,600 V,Sí,Fiberglass Braid,UL3410; AWM,,,,,,
107400,10 AWG 1 Conductor 105 strands TGGT Teflon Glass,Cables especiales,Cable de alta temperatura,,10,1,600 V,Sí,Fiberglass Braid,UL5256; AWM,,,,,,
107401,12 AWG 1 Conductor 65 strands TGGT Teflon Glass,Cables especiales,Cable de alta temperatura,,12,1,600 V,Sí,Fiberglass Braid,UL5256; AWM,,,,,,
107402,14 AWG 1 Conductor 41 strands TGGT Teflon Glass,Cables especiales,Cable de alta temperatura,,14,1,600 V,Sí,Fiberglass Braid,UL5256; AWM,,,,,,
107403,16 AWG 1 Conductor 26 strands TGGT Teflon Glass,Cables especiales,Cable de alta temperatura,,16,1,600 V,Sí,Fiberglass Braid,UL5256; AWM,,,,,,
107404,18 AWG 1 Conductor 16 strands TGGT Teflon Glass,Cables especiales,Cable de alta temperatura,,18,1,600 V,Sí,Fiberglass Braid,UL5256; AWM,,,,,,
107405,10/1C SRML Wire (SFF-2) 150C 600V,Cables especiales,Cables apantallados,,10,1,600 V,Sí,Fiberglass Braid,3101; SEWF-2,,,,,,
107409,12/1C SRML Wire (SFF-2) 150C 600V,Cables especiales,Cables apantallados,,12,1,600 V,Sí,Fiberglass Braid,3070; SEWF-2,,,,,,
107414,14/1C SRML Wire (SFF-2) 150C 600V,Cables especiales,Cables apantallados,,14,1,600 V,Sí,Fiberglass Braid,3070; SEWF-2,,,,,,
107419,16/1C SRML Wire (SFF-2) 150C 600V,Cables especiales,Cables apantallados,,16,1,600 V,Sí,Fiberglass Braid,3070; SEWF-2,,,,,,
107424,18/1C SRML Wire (SFF-2) 150C 600V,Cables especiales,Cables apantallados,,18,1,600 V,Sí,Fiberglass Braid,3070; SEWF-2,,,,,,
107427,10/1C SRML Wire (SF-2) 200C 600V,Cables especiales,Cables apantallados,,10,1,600 V,Sí,Fiberglass Braid,3075; SEW-2,,,,,,
107429,12/1C SRML Wire (SF-2) 200C 600V,Cables especiales,Cables apantallados,,12,1,600 V,Sí,Fiberglass Braid,3074; SEW-2,,,,,,
107431,14/1C SRML Wire (SF-2) 200C 600V,Cables especiales,Cables apantallados,,14,1,600 V,Sí,Fiberglass Braid,3071; SEW-2,,,,,,
107434,16/1C SRML Wire (SF-2) 200C 600V,Cables especiales,Cables apantallados,,16,1,600 V,Sí,Fiberglass Braid,3071; SEW-2,,,,,,
107438,18/1C SRML Wire (SF-2) 200C 600V,Cables especiales,Cables apantallados,,18,1,600 V,Sí,Fiberglass Braid,3071; SEW-2,,,,,,
107440,6 AWG 1 conductor Tinned Copper SIS 90C,Cables especiales,Cables apantallados,,6,1,600 V,Sí,,,,,,,,
107442,8 AWG 1 conductor Tinned Copper SIS 90C BLK,Cables especiales,Cables apantallados,,8,1,600 V,Sí,,,,,,,,
107443,8 AWG 1 conductor Tinned Copper SIS 90C WHT,Cables especiales,Cables apantallados,,8,1,600 V,Sí,,,,,,,,
107444,8 AWG 1 conductor Tinned Copper SIS 90C,Cables especiales,Cables apantallados,,8,1,600 V,Sí,,,,,,,,
107447,10 AWG 1 conductor Tinned Copper SIS 90C,Cables especiales,Cables apantallados,,10,1,600 V,Sí,,,,,,,,
107454,12 AWG 1 conductor Tinned Copper SIS 90C,Cables especiales,Cables apantallados,,12,1,600 V,Sí,,,,,,,,
107456,1 EPDM Tinned Copper,Cables especiales,Cables apantallados,,1,1,600 V,Sí,,,,,,,,
107457,2 EPDM TINNED COPPER,Cables especiales,Cables apantallados,,2,1,600 V,Sí,,,,,,,,
107458,4 EPDM Tinned Copper,Cables especiales,Cables apantallados,,4,1,600 V,Sí,,,,,,,,
107459,6 EPDM Tinned Copper,Cables especiales,Cables apantallados,,6,1,600 V,Sí,,,,,,,,
