sku_candidato,nombre_fuente,categoria_fuente_slug,subcategoria_fuente_slug,producto_url,imagen_url_externa,titulo_imagen_fuente,ultima_actualizacion_fuente,estado_contenido,estado_imagen,notas,sku_fuente,nombre_catalogo,categoria_url_fuente,imagen_thumbnail_url
CC-ALAMBRE-AISLADO-N14-NEGRO-X-METRO,Alambre Aislado N14 Negro X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/399/9697d7ee4436b0d2.webp,Alambre Aislado N14 Negro X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",10011483-NG,Alambre Aislado N14 Negro X Metro,https://cablescolombia.com/categoria/alambre-cable-thhn-thw-cu/alambres-thhn-thwn-2,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/399/thumb/d9246cc96b29db39c7ab1db7c1b835c8.webp
CC-ALAMBRE-AISLADO-N14-VERDE-X-METRO,Alambre Aislado N14 Verde X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/401/121406621317cfe8.webp,Alambre Aislado N14 Verde X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-AMARILLO-X-METRO,Alambre Aislado N12 Amarillo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/403/d9de507c1ffe683a.webp,Alambre Aislado N12 Amarillo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-AZUL-X-METRO,Alambre Aislado N12 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/404/de74dbaab503583e.webp,Alambre Aislado N12 Azul X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-BLANCO-X-METRO,Alambre Aislado N12 Blanco X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-blanco-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/405/13b435c1fdac41f7.webp,Alambre Aislado N12 Blanco X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-NEGRO-X-METRO,Alambre Aislado N12 Negro X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-negro-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/414/a2a95401cdffbf4a.webp,Alambre Aislado N12 Negro X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N12-ROJO-X-METRO,Alambre Aislado N12 Rojo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-rojo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/416/da13fc335c6c9fb0.webp,Alambre Aislado N12 Rojo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",ALMAISROJ-12,Alambre Aislado N12 Rojo X Metro,https://cablescolombia.com/categoria/alambre-cable-thhn-thw-cu/alambres-thhn-thwn-2,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/416/thumb/fb90cf264d238f543fc35b36d4fcae25.webp
CC-ALAMBRE-AISLADO-N12-VERDE-X-METRO,Alambre Aislado N12 Verde X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/417/afbc2a81d14b7287.webp,Alambre Aislado N12 Verde X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N10-AMARILLO-X-METRO,Alambre Aislado N10 Amarillo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-amarillo-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/419/b7d1416abfad7457.webp,Alambre Aislado N10 Amarillo X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-ALAMBRE-AISLADO-N10-AZUL-X-METRO-6,Alambre Aislado N10 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro_6,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/420/bb3d7c4af1f68969.webp,Alambre Aislado N10 Azul X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
