sku,nombre_provisional,estado_staging,marca,referencia_fabricante,enlace_producto_oficial,enlace_ficha_tecnica,enlace_imagen_directa,estado_derechos_imagen,referencia_permiso_imagen,datos_confirmados,observaciones
SRT-PENDING-92276926BA9C,Pendiente de verificación - Cable Aislado Thhw Cu N6 Blanco,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-1EE8DD2575A6,Pendiente de verificación - Cable Aislado Thhw Cu N6 Negro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-6BA5A1DAA2AC,Pendiente de verificación - Cable Aislado Thhw Cu N6 Rojo,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8B3722E7CB2B,Pendiente de verificación - Cable Aislado Thhw Cu N6 Verde,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-0CEB7A30C550,Pendiente de verificación - Cable Aislado Thhw Cu N4,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-1CEB98D50A52,Pendiente de verificación - Cable Aislado Thhw Cu N2,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-CCD73200B6F2,Pendiente de verificación - Cable Aislado Thhw Cu 1/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F261807B9900,Pendiente de verificación - Cable Aislado Thhw Cu 2/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-4C460F3BCB10,Pendiente de verificación - Cable Aislado Thhw Cu 3/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-B03FCD60601B,Pendiente de verificación - Cable Aislado Thhw Cu 4/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-03893103C5CC,Pendiente de verificación - Cable Aislado Thhw Cu 250MCM,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-BB2B59952D1B,Pendiente de verificación - Cable Aislado Thhw Cu 350MCM,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-920AA95588FF,Pendiente de verificación - Cable Aislado Thhw Cu 500MCM,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-5D89757874CE,Pendiente de verificación - Cable Aislado Thhw Cu 400MCM,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-86DB4130DA9A,Pendiente de verificación - Cable Aislado Thhw Cu N14 Amarillo,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-780ABB517110,Pendiente de verificación - Alambre Desnudo N14 x Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-1804F14F0031,Pendiente de verificación - Alambre Desnudo N12 x Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-CCE01012E007,Pendiente de verificación - Alambre Desnudo N10 x Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-E8DD5A6639BC,Pendiente de verificación - Alambre Desnudo N8 x Metro,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-97A4BB65EF11,Pendiente de verificación - Cable Desnudo Cobre N14,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-62ECCB9CBC7F,Pendiente de verificación - Cable Desnudo Cobre N12,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-3E3E2E48D6A4,Pendiente de verificación - Cable Desnudo Cobre N10,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-54AFC653C391,Pendiente de verificación - Cable Desnudo Cobre N8,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-77E92A904BC9,Pendiente de verificación - Cable Desnudo Cobre N6,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-84502B5390F0,Pendiente de verificación - Cable Desnudo Cobre N4,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8E7EFB9E9172,Pendiente de verificación - Cable Desnudo Cobre N2,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-53E9D5D96B7F,Pendiente de verificación - Cable Desnudo Cobre 1/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8EAF5D9C2C85,Pendiente de verificación - Cable Desnudo Cobre 2/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-54D394A49AB8,Pendiente de verificación - Cable Desnudo Cobre 4/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F0425DF85B52,Pendiente de verificación - Cable Desnudo Cobre 3/0,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-69E2CF6A9559,Pendiente de verificación - Cable Libre de Halógeno N14 Amarillo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-A0314224E766,Pendiente de verificación - Cable Libre de Halógeno N14 Azul Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-C94E1E870A26,Pendiente de verificación - Cable Libre de Halógeno N14 Blanco Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
