"sku","nombre_surtilec","image_file","sha256","variantes_que_comparten_hash","estado_verificacion","accion"
"SRT-PENDING-266DB75795E4","Alambre THHN/THW 8 AWG Cobre Sólido, Blanco","surtilec-alambre-thhn-thw-8-awg-cobre-solido-blanco-srt-pending-266db75795e4.webp","abdad3b3e7b3ca9ee635d78d230a8b3e2a837add6ff7aad22788386f7895df19","Alambre THHN/THW 10 AWG Cobre Sólido, Blanco | Alambre THHN/THW 8 AWG Cobre Sólido, Blanco","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-824826305DC2","Alambre THHN/THW 8 AWG Cobre Sólido, Negro","surtilec-alambre-thhn-thw-8-awg-cobre-solido-negro-srt-pending-824826305dc2.webp","5229cce7594b15fd35183ba1a15fbd987c1988273c09a61118b758c620ef08bf","Alambre THHN/THW 10 AWG Cobre Sólido, Negro | Alambre THHN/THW 8 AWG Cobre Sólido, Negro","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-C526999CC316","Cable THHW-LS 14 AWG Cobre Trenzado, Rojo","surtilec-cable-thhw-ls-14-awg-cobre-trenzado-rojo-srt-pending-c526999cc316.webp","b232726a6c0b06aafc14a9a9e8debc99fd5ad7d20f6633ac16d11f4e71d6d3a7","Cable THHW-LS 14 AWG Cobre Trenzado, Rojo | Cable THHW-LS 12 AWG Cobre Trenzado, Rojo | Cable THHW-LS 10 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Rojo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-0C9C276CC06B","Cable THHW-LS 14 AWG Cobre Trenzado, Azul","surtilec-cable-thhw-ls-14-awg-cobre-trenzado-azul-srt-pending-0c9c276cc06b.webp","3406c5ea89d890c1ed77920957d6beebab75be52656b19942cdbd80ad1154a82","Cable THHW-LS 14 AWG Cobre Trenzado, Azul | Cable THHW-LS 12 AWG Cobre Trenzado, Azul | Cable THHW-LS 10 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Azul","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-6CE65FDFB4CD","Cable THHW-LS 14 AWG Cobre Trenzado, Blanco","surtilec-cable-thhw-ls-14-awg-cobre-trenzado-blanco-srt-pending-6ce65fdfb4cd.webp","594d796a96c79e13b432ca8b95444f54a5b6d2388f325a70eab03ecbbd4514f6","Cable THHW-LS 14 AWG Cobre Trenzado, Blanco | Cable THHW-LS 12 AWG Cobre Trenzado, Blanco | Cable THHW-LS 10 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Blanco","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-4C332162507B","Alambre THHN/THW 10 AWG Cobre Sólido, Azul","surtilec-alambre-thhn-thw-10-awg-cobre-solido-azul-srt-pending-4c332162507b.webp","ce8b94493687e227c5bd2789293328dce667400a6554c47af86dee668a462d19","Alambre THHN/THW 8 AWG Cobre Sólido, Azul | Alambre THHN/THW 10 AWG Cobre Sólido, Azul","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-D60273BF0E1F","Cable THHW-LS 14 AWG Cobre Trenzado, Negro","surtilec-cable-thhw-ls-14-awg-cobre-trenzado-negro-srt-pending-d60273bf0e1f.webp","b8d415ea403bc4f235e85917cf0e05148b8bc50f5e58c741afdf4a6cbe0fff7d","Cable THHW-LS 14 AWG Cobre Trenzado, Negro | Cable THHW-LS 12 AWG Cobre Trenzado, Negro | Cable THHW-LS 10 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Negro","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-04E75D17520F","Cable THHW-LS 14 AWG Cobre Trenzado, Verde","surtilec-cable-thhw-ls-14-awg-cobre-trenzado-verde-srt-pending-04e75d17520f.webp","afe96b15ec5b0daaf459935f3f1dd5db265524332b8774d7586be92831abc0b4","Cable THHW-LS 14 AWG Cobre Trenzado, Verde | Cable THHW-LS 12 AWG Cobre Trenzado, Verde | Cable THHW-LS 10 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Verde | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Verde","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-DFD91AC5C680","Cable THHW-LS 12 AWG Cobre Trenzado, Negro","surtilec-cable-thhw-ls-12-awg-cobre-trenzado-negro-srt-pending-dfd91ac5c680.webp","b8d415ea403bc4f235e85917cf0e05148b8bc50f5e58c741afdf4a6cbe0fff7d","Cable THHW-LS 14 AWG Cobre Trenzado, Negro | Cable THHW-LS 12 AWG Cobre Trenzado, Negro | Cable THHW-LS 10 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Negro","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-6C3361585ADF","Cable THHW-LS 12 AWG Cobre Trenzado, Blanco","surtilec-cable-thhw-ls-12-awg-cobre-trenzado-blanco-srt-pending-6c3361585adf.webp","594d796a96c79e13b432ca8b95444f54a5b6d2388f325a70eab03ecbbd4514f6","Cable THHW-LS 14 AWG Cobre Trenzado, Blanco | Cable THHW-LS 12 AWG Cobre Trenzado, Blanco | Cable THHW-LS 10 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Blanco","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
