source_key,nombre_fuente_interno,categoria_fuente_slug,subcategoria_fuente_slug,producto_url_interno,sku_surtilec,estado,marca_confirmada,referencia_fabricante,fuente_tecnica_oficial,estado_imagen,motivo
CC-ALAMBRE-AISLADO-N14-NEGRO-X-METRO,Alambre Aislado N14 Negro X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-negro-x-metro,SRT-ALAMBRE-14-NEGRO-METRO,importado_verificado,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N14-VERDE-X-METRO,Alambre Aislado N14 Verde X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n14-verde-x-metro,SRT-ALAMBRE-14-VERDE-METRO,importado_verificado,Centelsa by Nexans,200300,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N12-AMARILLO-X-METRO,Alambre Aislado N12 Amarillo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-amarillo-x-metro,SRT-ALAMBRE-12-AMARILLO-METRO,importado_verificado,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N12-AZUL-X-METRO,Alambre Aislado N12 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-azul-x-metro,SRT-ALAMBRE-12-AZUL-METRO,importado_verificado,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N12-BLANCO-X-METRO,Alambre Aislado N12 Blanco X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-blanco-x-metro,SRT-ALAMBRE-12-BLANCO-METRO,importado_verificado,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N12-NEGRO-X-METRO,Alambre Aislado N12 Negro X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-negro-x-metro,SRT-ALAMBRE-12-NEGRO-METRO,importado_verificado,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N12-ROJO-X-METRO,Alambre Aislado N12 Rojo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-rojo-x-metro,SRT-ALAMBRE-12-ROJO-METRO,importado_verificado,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N12-VERDE-X-METRO,Alambre Aislado N12 Verde X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n12-verde-x-metro,SRT-ALAMBRE-12-VERDE-METRO,importado_verificado,Centelsa by Nexans,200303,https://www.nexans.co/es/products/Construcci%C3%B3n/Cables-de-Cobre-de-Baja-Tensi%C3%B3n-Aislados/Alambre-THHN-THWN-2/Wire-Type-24145.html,sin_imagen,Producto ya importado mediante lote verificado; no crear una segunda ficha.
CC-ALAMBRE-AISLADO-N10-AMARILLO-X-METRO,Alambre Aislado N10 Amarillo X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-amarillo-x-metro,SRT-PENDING-70D84407714D,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-ALAMBRE-AISLADO-N10-AZUL-X-METRO-6,Alambre Aislado N10 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro_6,SRT-PENDING-5CF53639D7B1,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
