id,sku,titulo,familia,familia_etiqueta,confianza,regla,marca,categorias
136,31352602401,THHN/THWN-2 2/0 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
137,31352602001,THHN/THWN-2 3/0 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
138,31352601601,THHN/THWN-2 4/0 AWG Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
139,31352610201,THHN/THWN-2 250 kcmil Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
140,31352610101,THHN/THWN-2 350 kcmil Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
141,31352610102,THHN/THWN-2 500 kcmil Cu (cobre) 600V 90° flexible,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
142,31354002601,THWN-2 8 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
143,31354002605,THWN-2 8 AWG Cu (J) PVC/NY 600V 105C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
144,31354001601,TFFN 18 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
145,31354001801,TFFN 16 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
146,31354002101,THWN-2 10 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
147,31354002201,THWN-2 12 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
148,31354002301,THWN-2 14 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
149,31354002401,THWN-2 16 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
150,31354002501,THWN-2 18 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
151,31354003601,THWN-2 6 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
152,31354004801,THWN-2 4 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
153,31354004101,THWN-2 2 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
154,31354003101,THWN-2 1/0 AWG Cu (J) PVC/NY 600V 90°C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
155,31405170001,TSEC 2×6+6 AWG Cu (cobre)-XLPUV/PE 600V 75°C CDSA,antifraude,Cable antifraude TSEC,alta,antifraude|\bTSEC\b,Procables,Antifraude TSEC|Cables de acometida
156,31405170002,TSEC 2×6+6 AWG Cu (cobre)-XLPUV/PE 600V 90°C CDSA,antifraude,Cable antifraude TSEC,alta,antifraude|\bTSEC\b,Procables,Antifraude TSEC|Cables de acometida
157,31404264001,TSEC 2×6+6 AWG Cu (cobre)-XLPUV/PE 600V 90°C,antifraude,Cable antifraude TSEC,alta,antifraude|\bTSEC\b,Procables,Antifraude TSEC|Cables de acometida
158,31404244901,TSEC 2×8+8 AWG Cu (cobre) CPR XLPE-SR 600V 90°C PE,antifraude,Cable antifraude TSEC,alta,antifraude|\bTSEC\b,Procables,Antifraude TSEC|Cables de acometida
159,31404145001,TSEC 8+8 AWG Cu-PE/PVC 600V 75°C CDSA,antifraude,Cable antifraude TSEC,alta,antifraude|\bTSEC\b,Procables,Antifraude TSEC|Cables de acometida
160,31405820001,TIPO TREBOL 2×10+10 AWG Cu (cobre) XLPE-SR 600V 75°C PE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de acometida|Tipo Trébol
161,31405820002,TIPO TREBOL 2×10+10 AWG Cu (cobre) XLPE-SR 600V 90°C PE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de acometida|Tipo Trébol
162,31405811001,TIPO TREBOL 2×8+8 AWG Cu (cobre) XLPE-SR 600V 75°C PE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de acometida|Tipo Trébol
163,31405811002,TIPO TREBOL 2×8+8 AWG Cu (cobre) XLPE-SR 600V 90°C PE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de acometida|Tipo Trébol
164,31352614501,EXZHELLENT BW 14 AWG (2.5mm2) Cu (cobre) CPR HFFR LS 600V 75°,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
165,31352612201,EXZHELLENT BW 12 AWG (4mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
166,31352610601,EXZHELLENT BW 10 AWG (6mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
167,31352610801,EXZHELLENT BW 10 AWG (6mm2) Cu (cobre) CPR HFFR LS 600V 75°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
168,31352610201-2,EXZHELLENT BW 8 AWG (10mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
169,31352610101-2,EXZHELLENT BW 8 AWG (10mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
170,31352610102-2,EXZHELLENT BW 8 AWG Cu (cobre) CPR HFFR LS 600V 90°C XLPE 4H ST,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
171,31352608801,EXZHELLENT BW 6 AWG (16mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
172,31352608701,EXZHELLENT BW 6 AWG (16mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
173,31352606201,EXZHELLENT BW 4 AWG (25mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
174,31352606101,EXZHELLENT BW 4 AWG (25mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
175,31352602401-2,EXZHELLENT BW 2 AWG (35mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
176,31352602301,EXZHELLENT BW 2 AWG (35mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
177,31352600401,EXZHELLENT BW 1/0 AWG (50mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
178,31352600301,EXZHELLENT BW 1/0 AWG (50mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
179,31352598801,EXZHELLENT BW 2/0 AWG (70mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
180,31352598701,EXZHELLENT BW 2/0 AWG (70mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
181,31352596401,EXZHELLENT BW 3/0 AWG (95mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
182,31352596301,EXZHELLENT BW 3/0 AWG (95mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
183,31352594201,EXZHELLENT BW 4/0 AWG (120mm2) Cu (cobre) CPR HFFR LS 600V 75°C,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
184,31352594101,EXZHELLENT BW 4/0 AWG (120mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE,xlpe-xptc,Cable XLPE/XPTC,alta,\bXLPE\b|\bXPTC\b|\bXHHW\b|\bUSE-?2\b,Procables,Cables de baja tensión|Exzhellent BW
185,31352611601,EXZHELLENT BW 500 kcmil Cu (cobre) CPR HFFR LS 600V 75°,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
186,31352611001,EXZHELLENT BW 350 kcmil Cu (cobre) CPR HFFR LS 600V 75°,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
187,31352610401,EXZHELLENT BW 250 kcmil Cu (cobre) CPR HFFR LS 600V 75°,exzhellent,Cable Exzhellent,alta,exzhellent,Procables,Cables de baja tensión|Exzhellent BW
